,day_of_week,hour,is_weekend,is_market_hours,is_earnings_season,is_quarter_end,days_since_event
count,2802.0,2802.0,2802.0,2802.0,2802.0,2802.0,2802.0
mean,1.8258386866523912,7.861884368308351,0.0,0.255174875089222,0.7255531763026409,0.274446823697359,373.1588151320485
std,1.2824870517375455,2.679177063204252,0.0,0.4360372837099488,0.4463147494926471,0.44631474949264716,137.97229273313255
min,0.0,0.0,0.0,0.0,0.0,0.0,239.0
25%,1.0,7.0,0.0,0.0,0.0,0.0,263.0
50%,2.0,8.0,0.0,0.0,1.0,0.0,331.0
75%,3.0,9.0,0.0,1.0,1.0,1.0,451.0
max,4.0,15.0,0.0,1.0,1.0,1.0,1654.0
