event,prev_r2,curr_r2,r2_improvement_pct,above_0_5_r2
all_events,-55.53,33.43,-160.1887695514903,False
annual_general_meeting,-26.25,-47.2,79.81367335576853,False
bond_fixing,0.0,82.22,0.0,True
business_contracts,4.38,-59.97,-1469.885285593891,False
capital_investment,0.0,-5.94,0.0,False
changes_in_companys_own_shares,11.81,6.34,-46.28122813647501,False
clinical_study,-64.7,35.13,-154.2954143675177,False
company_regulatory_filings,-23.13,-22.27,-3.7089103353350437,False
conference_call_webinar,-6.2,48.25,-878.4978057031324,False
corporate_action,-43.7,28.9,-166.13933722582172,False
dividend_reports_and_estimates,0.0,1.27,0.0,False
earnings_releases_and_operating_results,0.73,14.5,1879.6185875931296,False
environmental_social_governance,0.0,0.0,0.0,False
exchange_announcement,-1614.31,77.92,-104.82711591905117,True
financial_results,9.81,36.17,268.7355665321766,False
financing_agreements,6.05,55.73,821.8200577499179,True
fund_data_announcement,-133557.63,81.12,-100.06074128811531,True
geographic_expansion,-169.84,-194.28,14.3901467278817,False
interim_information,0.0,-61.56,0.0,False
licensing_agreements,-137.67,-253.25,83.95108220900846,False
major_shareholder_announcements,-29.38,-3909.9,13209.582275522325,False
management_changes,3.28,30.01,815.1116496176483,False
mergers_acquisitions,-5.94,31.01,-622.4141450397057,False
partnerships,-18.62,44.23,-337.5345377530353,False
patents,-27.7,-97.55,252.1405721632379,False
press_releases,-49.08,-7.16,-85.42180898835755,False
product_services_announcement,-79.32,53.26,-167.15176418369495,True
prospectus_announcement,0.0,76.69,0.0,True
regulatory_filings,-12.27,37.5,-405.7384294894542,False
share_capital_increase,0.0,-1083.35,0.0,False
shares_issue,-188.98,9.04,-104.78347021523729,False
trade_show,5.55,-36.04,-749.0493839140046,False
voting_rights,2.15,18.57,763.2493653137773,False
