feature,importance
market_cap,0.059537323038125284
float_shares,0.0372925093490783
avg_volume,0.02581603820748531
beta,0.04227735954106892
recent_volume,0.023845769402669432
float_ratio,0.05959914307808969
sector_performance,0.009469936447589464
day_of_week,0.06321707202700279
hour,0.08630827444761832
combined_sentiment,0.1412597532462439
prev_news_sentiment,0.1544787932574104
volatility,0.048696526847253986
days_since_event,0.17458312126375689
exchange_AMS,4.4292855896130644e-05
exchange_ASE,0.0026439408743209286
exchange_ASX,9.688173922822321e-05
exchange_BRU,0.00018461494840884093
exchange_CNQ,0.0001230365962183023
exchange_CPH,0.00013468915956853518
exchange_EBS,9.227103643729995e-05
exchange_FRA,5.128085159651145e-05
exchange_GER,0.0002727890505325999
exchange_HEL,0.001044186096126407
exchange_ICE,1.0704658978949675e-05
exchange_MIL,4.172575264614537e-05
exchange_NCM,0.006467550907464295
exchange_NGM,0.003217982804799112
exchange_NMS,0.002764363152914057
exchange_NYQ,0.0023513205553191427
exchange_OQB,0.001167712863899679
exchange_OSL,0.0007416263934072455
exchange_PAR,0.0012551341523805756
exchange_PCX,3.7668058010547576e-06
exchange_PNK,0.00183606721434554
exchange_STO,5.8340114546733176e-05
exchange_Unknown,0.0024054264274504513
exchange_YHD,0.00738615035980182
sector_Communication Services,4.08311322258748e-05
sector_Consumer Cyclical,0.00011890280643684896
sector_Consumer Defensive,0.00021103049751866645
sector_Energy,0.00010778939110352432
sector_Financial Services,0.0007631507883915072
sector_Healthcare,0.0017606245659898356
sector_Industrials,7.777256958074773e-05
sector_Real Estate,1.4097125706636756e-05
sector_Technology,0.00021579831075713388
sector_Utilities,6.464938479854506e-05
industry_Aerospace & Defense,1.389996685998692e-05
industry_Airlines,2.3356858067940447e-05
industry_Aluminum,2.1716387871423857e-06
industry_Asset Management,0.0011781673907540233
industry_Auto & Truck Dealerships,7.661964171008465e-07
industry_Banks - Regional,6.475224578385805e-05
industry_Beverages - Non-Alcoholic,4.231291084871658e-06
industry_Biotechnology,0.004413979567708941
industry_Credit Services,4.023578095317181e-07
industry_Diagnostics & Research,0.001955400966797493
industry_Discount Stores,0.0005135365243256227
industry_Drug Manufacturers - General,0.0002638727331871411
industry_Drug Manufacturers - Specialty & Generic,0.0017414148223960618
industry_Electronic Components,0.006682491462952293
industry_Engineering & Construction,4.437350156991881e-06
industry_Farm Products,3.250963576963926e-06
industry_Health Information Services,7.470435650613161e-06
industry_Home Improvement Retail,0.0006436008110036463
industry_Industrial Distribution,0.0009686363361223007
industry_Information Technology Services,5.195481982602359e-05
industry_Insurance - Specialty,9.952246993143972e-07
industry_Internet Retail,1.5692497725823678e-06
industry_Marine Shipping,0.0005024898537392355
industry_Medical Care Facilities,2.643447515005691e-05
industry_Medical Devices,0.0013705516118094753
industry_Medical Distribution,2.6380826603779983e-05
industry_Medical Instruments & Supplies,6.96425776015987e-05
industry_Oil & Gas Drilling,2.8502554853868914e-05
industry_Oil & Gas E&P,1.4924863282116516e-05
industry_Oil & Gas Equipment & Services,3.251305675471005e-05
industry_Oil & Gas Integrated,2.1452400756177806e-05
industry_Oil & Gas Midstream,0.0002612273783375218
industry_Oil & Gas Refining & Marketing,2.8451014131034164e-06
industry_Packaging & Containers,1.3116864293691245e-05
industry_Publishing,6.660878591724537e-05
industry_REIT - Industrial,1.2551918754371214e-06
industry_REIT - Specialty,1.7895810828504246e-06
industry_Real Estate Services,3.09510900798634e-06
industry_Security & Protection Services,6.492940144048611e-06
industry_Semiconductor Equipment & Materials,5.812842156973561e-06
industry_Semiconductors,1.5321383211919748e-05
industry_Software - Application,3.8201404235494107e-05
industry_Software - Infrastructure,0.0001472814231412547
industry_Solar,1.55784438277319e-05
industry_Specialty Business Services,2.215322924165142e-06
industry_Specialty Industrial Machinery,0.011420902705235075
industry_Specialty Retail,0.00010699964241467519
industry_Steel,1.132206800443629e-05
industry_Telecom Services,2.729537308833145e-06
industry_Utilities - Renewable,9.138663523001907e-05
industry_Waste Management,8.698683585445555e-07
market_cap_category_Large,0.00018015336082113635
market_cap_category_Mid,0.0010065299504833152
market_cap_category_Small,0.0018128909282926452
