event_name,language,mlflow_run_id,mlflow_model_uri,model_filename,vectorizer_filename,mse,r2,mae,rmse
licensing_agreements,en,c2c42281b189418abba4399660a3b49f,runs:/c2c42281b189418abba4399660a3b49f/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_regression.joblib,1.8764747703156266,0.7738110066588493,1.0993815437399284,1.369844797893406
annual_report,en,e048a23281984518a7de9c1af9dc1653,runs:/e048a23281984518a7de9c1af9dc1653/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_tfidf_vectorizer_regression.joblib,0.7412454994647781,0.7099120472136045,0.6114845944994295,0.8609561542057633
geographic_expansion,en,0ce619ed5f544a21a516fab5b9eb0f3f,runs:/0ce619ed5f544a21a516fab5b9eb0f3f/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_regression.joblib,4.080398841548052,0.44680148137457665,1.3660698085174179,2.019999713254448
trading_information,en,dbd5c9c3712e4ec891258683ad834a9d,runs:/dbd5c9c3712e4ec891258683ad834a9d/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trading_information_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trading_information_tfidf_vectorizer_regression.joblib,1.414069336778462,0.4352930488624728,0.894639394186577,1.1891464740638396
regulatory_filings,en,52973d11509741b6944c066c3c6f7018,runs:/52973d11509741b6944c066c3c6f7018/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_regression.joblib,3.403164287214789,0.4343293241120407,1.2207080528183432,1.8447667297560386
partnerships,en,8d4505f51044478e88cee486875b03a4,runs:/8d4505f51044478e88cee486875b03a4/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_regression.joblib,2.0037853050619714,0.41904580152033755,1.0031434675765538,1.4155512371729861
product_services_announcement,en,047b9252df1641edbf58cea9b729c75e,runs:/047b9252df1641edbf58cea9b729c75e/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_regression.joblib,2.9835527728491904,0.35489927939115906,1.0928162875049483,1.7272963766676495
business_contracts,en,aded8c80ec464824a4cf170c14c3d74c,runs:/aded8c80ec464824a4cf170c14c3d74c/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_regression.joblib,2.844328821673654,0.33203483812237267,0.9440523360176337,1.6865138071399397
mergers_acquisitions,en,89ea12defbdb49399596b44c762ef07b,runs:/89ea12defbdb49399596b44c762ef07b/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_regression.joblib,3.943756676415496,0.319028574108122,1.2893691986882103,1.9858893917878448
management_statements,en,8785e11433e04a7e82f08e1fdeef97c6,runs:/8785e11433e04a7e82f08e1fdeef97c6/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_tfidf_vectorizer_regression.joblib,0.7244494676486248,0.3034264774820835,0.5733075608124549,0.8511459731730068
