event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,mlflow_run_id,mlflow_model_uri
exchange_announcement,en,5.452183663228373,0.20525876120640485,1.6573616082209193,2.334991148426129,50,199,249,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_regression.joblib,df6aca03246b4d7994ecc2f255992db3,runs:/df6aca03246b4d7994ecc2f255992db3/model
ex_dividend_date,en,8.012243929198227,0.1924735776722153,1.7845293202264372,2.830590738555863,11,42,53,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_tfidf_vectorizer_regression.joblib,202c0d0c0b6445cd8892414165bcfa51,runs:/202c0d0c0b6445cd8892414165bcfa51/model
management_changes,en,5.098378865913239,0.18066906200998822,1.5496572007175264,2.257959004480205,109,432,541,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_regression.joblib,6c9358cd7d3d4c4f9ae7abcc88692613,runs:/6c9358cd7d3d4c4f9ae7abcc88692613/model
financial_calendar,en,3.9766120296384235,0.1696432829846214,1.2987158668187144,1.9941444355007045,50,196,246,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_tfidf_vectorizer_regression.joblib,f1d044638d6542f595b1dfdce617aa71,runs:/f1d044638d6542f595b1dfdce617aa71/model
interim_information,en,4.86180207347735,0.1677641255720448,1.392340541737437,2.2049494491886543,33,128,161,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_regression.joblib,c56d317d893e454c82f9966c631e5b31,runs:/c56d317d893e454c82f9966c631e5b31/model
annual_general_meeting,en,3.9629426977202598,0.16360215266296918,1.4698626517262638,1.9907141175267382,40,159,199,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_regression.joblib,2ad34c30cea54bdeb87ccfe4c51a5579,runs:/2ad34c30cea54bdeb87ccfe4c51a5579/model
press_releases,en,5.0425071658040705,0.15163315336784822,1.4987712063021836,2.2455527528437336,43,172,215,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_regression.joblib,e9abd66ef057423088730b6e07849942,runs:/e9abd66ef057423088730b6e07849942/model
bond_fixing,en,2.903721254778451,0.11772778888691948,1.0374882176757834,1.7040308843382068,88,348,436,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_regression.joblib,80d21c4ec23f4253a83b2861175862b7,runs:/80d21c4ec23f4253a83b2861175862b7/model
law_legal_issues,en,12.373696137583526,0.11566547126169247,2.7812790565644927,3.51762649205164,7,25,32,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\law_legal_issues_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\law_legal_issues_tfidf_vectorizer_regression.joblib,4dfede5bf7d34bfeb2d1c4a9b0af6b44,runs:/4dfede5bf7d34bfeb2d1c4a9b0af6b44/model
earnings_releases_and_operating_results,en,5.128471486213529,0.09838385522644855,1.4675480813413817,2.2646128777814387,407,1627,2034,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_regression.joblib,1a286793ada8499c8b075e44a9f69626,runs:/1a286793ada8499c8b075e44a9f69626/model
