news_id,ticker,published_date,begin_price,end_price,index_begin_price,index_end_price,volume,market,price_change,price_change_percentage,index_price_change,index_price_change_percentage,daily_alpha,actual_side,runid
43579,VIR,2023-02-23 16:05:00,27.23,25.81,401.56,400.66,1263501,regular_market,-1.4200000000000017,-5.21483657730445,-0.8999999999999773,-0.22412590895506956,-4.99071066834938,DOWN,1752171285
15407,VBLT,2023-02-23 07:00:00,4.543,7.665,398.54,401.56,4429554,pre_market,3.122,68.7211093990755,3.019999999999982,0.7577658453354699,67.96334355374003,UP,1752171285
43580,VIR,2023-02-22 08:30:00,26.99,27.0,399.09,399.52,1110746,pre_market,0.010000000000001563,0.03705075954057638,0.4300000000000068,0.10774512014833919,-0.07069436060776281,UP,1752171285
43581,VIR,2023-02-16 16:05:00,26.28,25.57,408.79,408.28,832457,regular_market,-0.7100000000000009,-2.7016742770167457,-0.5100000000000477,-0.12475843342548686,-2.5769158435912587,DOWN,1752171285
15408,VBLT,2023-02-16 08:00:00,5.145,5.0855,413.98,408.79,151559,pre_market,-0.059499999999999886,-1.1564625850340116,-5.189999999999998,-1.2536837528383007,0.09722116780428913,DOWN,1752171285
16616,NEXI,2023-02-16 07:00:00,10.25,18.25,413.98,408.79,2503539,pre_market,8.0,78.04878048780488,-5.189999999999998,-1.2536837528383007,79.30246424064318,UP,1752171285
