ticker,id,index_end_price,actual_side,volume,predicted_side,news_id,market,predicted_move,published_date,price_change,downloaded_at,begin_price,price_change_percentage,price_source,end_price,index_price_change,runid,index_begin_price,index_price_change_percentage,daily_alpha
ALMA.HE,9303,625.8200073242188,DOWN,2545.0,UP,82013,regular_market,0.1013713814783932,2025-07-10 15:30:00,-0.39999961853027344,2025-07-10 20:24:17.291801+00:00,13.0,-3.0769201425405646,yfinance,12.600000381469727,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-3.336451556431372
FSKRS.HE,9304,625.8200073242188,UP,14376.0,DOWN,82011,regular_market,0.251703454214381,2025-07-10 15:30:00,0.19999980926513672,2025-07-10 20:24:18.085352+00:00,14.5600004196167,1.3736250240465435,yfinance,14.760000228881836,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,1.1140936101557362
UNITED.HE,9305,625.8200073242188,UP,1591.0,UP,82014,regular_market,0.3300605203284403,2025-07-10 15:30:00,0.10000038146972656,2025-07-10 20:24:18.586709+00:00,16.850000381469727,0.593474060568562,yfinance,16.950000762939453,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,0.3339426466777547
SPG.CO,9306,625.8200073242188,UP,14392.0,UP,82017,regular_market,-0.38037159815979515,2025-07-10 15:02:00,15.5,2025-07-10 20:24:19.242704+00:00,328.5,4.71841704718417,yfinance,344.0,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,4.458885633293363
ROBIT.HE,9307,625.8200073242188,DOWN,30666.0,UP,82019,regular_market,1.8998914659734922,2025-07-10 14:45:00,-0.125,2025-07-10 20:24:19.777799+00:00,1.315000057220459,-9.505703008425332,yfinance,1.190000057220459,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-9.765234422316139
NTU1L.VS,9308,625.8200073242188,UP,2159.0,UP,81970,regular_market,0.0829307928514293,2025-07-10 13:45:00,0.004999995231628418,2025-07-10 20:24:20.497455+00:00,1.0549999475479126,0.4739332208735816,yfinance,1.059999942779541,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,0.21440180698277428
DANSKE.CO,9309,625.8200073242188,UP,737537.0,UP,81973,regular_market,0.2467380118617738,2025-07-10 13:17:26,0.5,2025-07-10 20:24:21.056992+00:00,264.6000061035156,0.18896447031992594,yfinance,265.1000061035156,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-0.07056694357088136
ALMB.CO,9310,625.8200073242188,UP,1310221.0,DOWN,81931,regular_market,-0.3748160846843062,2025-07-10 12:38:51,0.049999237060546875,2025-07-10 20:24:21.933795+00:00,17.350000381469727,0.2881800343586587,yfinance,17.399999618530273,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,0.028648620467851382
ALMB.CO,9311,625.8200073242188,UP,1310221.0,DOWN,81932,regular_market,-0.3748160846843062,2025-07-10 12:35:38,0.049999237060546875,2025-07-10 20:24:22.340810+00:00,17.350000381469727,0.2881800343586587,yfinance,17.399999618530273,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,0.028648620467851382
ORLA,9312,625.8200073242188,DOWN,999003.0,UP,81933,regular_market,-0.4590545460312769,2025-07-10 12:32:18,-0.05000019073486328,2025-07-10 20:24:22.778625+00:00,10.75,-0.4651180533475654,yfinance,10.699999809265137,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-0.7246494672383728
QBEN.ST,9313,625.8200073242188,DOWN,8880.0,UP,81934,regular_market,-0.9521898225843779,2025-07-10 12:23:00,-0.10000038146972656,2025-07-10 20:24:23.401413+00:00,10.550000190734863,-0.9478708972683061,yfinance,10.449999809265137,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-1.2074023111591135
SEZI.ST,9314,625.8200073242188,DOWN,296231.0,DOWN,81935,regular_market,-0.5671793203321254,2025-07-10 12:10:00,-0.23000001907348633,2025-07-10 20:24:24.179568+00:00,5.690000057220459,-4.042179556424124,yfinance,5.460000038146973,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-4.3017109703149305
NYF.ST,9315,625.8200073242188,DOWN,353477.0,UP,81908,regular_market,-0.31625727062758924,2025-07-10 11:30:00,-1.9000015258789062,2025-07-10 20:24:24.739318+00:00,92.4000015258789,-2.056278673704095,yfinance,90.5,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-2.3158100875949024
VAIAS.HE,9316,625.8200073242188,DOWN,3947.0,UP,81909,regular_market,-0.24910087760201127,2025-07-10 11:00:00,-0.40000152587890625,2025-07-10 20:24:25.476674+00:00,51.900001525878906,-0.7707158268183353,yfinance,51.5,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-1.0302472407091425
GF=F,9317,625.8200073242188,DOWN,16378.0,UP,81894,regular_market,0.07356540753432,2025-07-10 10:00:00,-1.024993896484375,2025-07-10 20:24:26.469162+00:00,322.625,-0.31770442355191786,yfinance,321.6000061035156,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-0.5772358374427251
GF=F,9318,625.8200073242188,DOWN,16378.0,UP,81893,regular_market,0.07356540753432,2025-07-10 10:00:00,-1.024993896484375,2025-07-10 20:24:26.948674+00:00,322.625,-0.31770442355191786,yfinance,321.6000061035156,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-0.5772358374427251
G5EN.ST,9319,625.8200073242188,UP,11196.0,DOWN,81895,regular_market,0.05736865481021824,2025-07-10 09:53:35,0.1999969482421875,2025-07-10 20:24:27.996125+00:00,108.80000305175781,0.18382071933127236,yfinance,109.0,1.6199951171875,1752179049.0,624.2000122070312,0.2595314138908073,-0.07571069455953494
