event_name,language,mlflow_run_id,mlflow_model_uri,model_filename,vectorizer_filename,accuracy,precision,recall,f1_score,auc_roc
business_contracts,en,74c13fcddcd24cbe9f2eb527252fe5af,runs:/74c13fcddcd24cbe9f2eb527252fe5af/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,0.7678571428571429,0.6764705882352942,0.92,0.7796610169491526,0.8774193548387097
company_regulatory_filings,en,7bbad99fe699429c9e6347942f0ab6cc,runs:/7bbad99fe699429c9e6347942f0ab6cc/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_tfidf_vectorizer_binary.joblib,0.7647058823529411,0.7058823529411765,0.8,0.75,0.856140350877193
capital_investment,en,83943599e0fb464a89aa1d5b9733207a,runs:/83943599e0fb464a89aa1d5b9733207a/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_binary.joblib,0.75,0.6666666666666666,1.0,0.8,0.71875
government_news,en,944f818f5f144ba189a4ad7f0d814ef2,runs:/944f818f5f144ba189a4ad7f0d814ef2/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_tfidf_vectorizer_binary.joblib,0.75,0.7272727272727273,1.0,0.8421052631578947,0.75
conference_call_webinar,en,ba5579e25c7d4a1a8d38c1951dd115b7,runs:/ba5579e25c7d4a1a8d38c1951dd115b7/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_binary.joblib,0.7322834645669292,0.7540983606557377,0.7076923076923077,0.7301587301587301,0.8333746898263027
changes_in_share_capital_and_votes,en,558ff89ea30c42a5924c23d97eae66ae,runs:/558ff89ea30c42a5924c23d97eae66ae/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_tfidf_vectorizer_binary.joblib,0.7222222222222222,0.875,0.6363636363636364,0.7368421052631579,0.7532467532467533
fund_data_announcement,en,583784e7a187408589bde8d60f86f1d8,runs:/583784e7a187408589bde8d60f86f1d8/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,0.7,0.8888888888888888,0.5,0.64,0.7589285714285714
all_events,en,54caf59388ff4cd1b3f2283e51cdf591,runs:/54caf59388ff4cd1b3f2283e51cdf591/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_binary.joblib,0.6988044735827227,0.7927736450584485,0.56006006006006,0.6564012318521777,0.8032461486069734
major_shareholder_announcements,en,f8587b7ba0ef4230bb7a837dce3a984d,runs:/f8587b7ba0ef4230bb7a837dce3a984d/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_tfidf_vectorizer_binary.joblib,0.6956521739130435,0.6136363636363636,0.8709677419354839,0.72,0.7432088285229203
annual_report,en,eb96b870300d4b4881f02bd8f1c6a15e,runs:/eb96b870300d4b4881f02bd8f1c6a15e/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_report_tfidf_vectorizer_binary.joblib,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095
