event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,mlflow_run_id,mlflow_model_uri
geographic_expansion,en,0.7857142857142857,0.8,0.8888888888888888,0.8421052631578947,0.7777777777777778,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_binary.joblib,88.88888888888889,60.0,9,5,8,3,71.42857142857143,28.57142857142857,a83f14cbd8d44f10b54841338aa1cdc4,runs:/a83f14cbd8d44f10b54841338aa1cdc4/model
mergers_acquisitions,en,0.7727272727272727,0.9375,0.625,0.75,0.8848958333333332,88,352,440,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_binary.joblib,62.5,95.0,48,40,30,38,36.36363636363637,63.63636363636363,792565443c1c4ed990da8dca75728820,runs:/792565443c1c4ed990da8dca75728820/model
business_contracts,en,0.7678571428571429,0.6764705882352942,0.92,0.7796610169491526,0.8774193548387097,56,222,278,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,92.0,64.51612903225806,25,31,23,20,60.71428571428571,39.285714285714285,74c13fcddcd24cbe9f2eb527252fe5af,runs:/74c13fcddcd24cbe9f2eb527252fe5af/model
company_regulatory_filings,en,0.7647058823529411,0.7058823529411765,0.8,0.75,0.856140350877193,34,135,169,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_tfidf_vectorizer_binary.joblib,80.0,73.68421052631578,15,19,12,14,50.0,50.0,7bbad99fe699429c9e6347942f0ab6cc,runs:/7bbad99fe699429c9e6347942f0ab6cc/model
capital_investment,en,0.75,0.6666666666666666,1.0,0.8,0.71875,16,61,77,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_binary.joblib,100.0,50.0,8,8,8,4,75.0,25.0,83943599e0fb464a89aa1d5b9733207a,runs:/83943599e0fb464a89aa1d5b9733207a/model
government_news,en,0.75,0.7272727272727273,1.0,0.8421052631578947,0.75,12,48,60,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\government_news_tfidf_vectorizer_binary.joblib,100.0,25.0,8,4,8,1,91.66666666666666,8.333333333333332,944f818f5f144ba189a4ad7f0d814ef2,runs:/944f818f5f144ba189a4ad7f0d814ef2/model
conference_call_webinar,en,0.7322834645669292,0.7540983606557377,0.7076923076923077,0.7301587301587301,0.8333746898263027,127,505,632,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_binary.joblib,70.76923076923077,75.80645161290323,65,62,46,47,48.031496062992126,51.96850393700787,ba5579e25c7d4a1a8d38c1951dd115b7,runs:/ba5579e25c7d4a1a8d38c1951dd115b7/model
changes_in_share_capital_and_votes,en,0.7222222222222222,0.875,0.6363636363636364,0.7368421052631579,0.7532467532467533,18,70,88,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_share_capital_and_votes_tfidf_vectorizer_binary.joblib,63.63636363636363,85.71428571428571,11,7,7,6,44.44444444444444,55.55555555555556,558ff89ea30c42a5924c23d97eae66ae,runs:/558ff89ea30c42a5924c23d97eae66ae/model
fund_data_announcement,en,0.7,0.8888888888888888,0.5,0.64,0.7589285714285714,30,116,146,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,50.0,92.85714285714286,16,14,8,13,30.0,70.0,583784e7a187408589bde8d60f86f1d8,runs:/583784e7a187408589bde8d60f86f1d8/model
all_events,en,0.6988044735827227,0.7927736450584485,0.56006006006006,0.6564012318521777,0.8032461486069734,2593,10371,0,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_binary.joblib,56.006006006006004,84.5360824742268,1332,1261,746,1066,36.29001156961049,63.70998843038951,54caf59388ff4cd1b3f2283e51cdf591,runs:/54caf59388ff4cd1b3f2283e51cdf591/model
