news_id,ticker,published_date,begin_price,end_price,index_begin_price,index_end_price,volume,market,price_change,price_change_percentage,index_price_change,index_price_change_percentage,daily_alpha,actual_side,runid
46691,ANAB,2025-02-27 16:15:00,17.07,16.4,596.85,585.05,487807,regular_market,-0.6700000000000017,-3.9250146455770456,-11.800000000000068,-1.9770461590014357,-1.94796848657561,DOWN,1752175594
46692,ANAB,2025-02-27 16:15:00,17.07,16.4,596.85,585.05,487807,regular_market,-0.6700000000000017,-3.9250146455770456,-11.800000000000068,-1.9770461590014357,-1.94796848657561,DOWN,1752175594
46695,HUMA,2025-02-27 16:05:00,3.59,3.37,596.85,585.05,3832376,regular_market,-0.21999999999999975,-6.12813370473537,-11.800000000000068,-1.9770461590014357,-4.151087545733934,DOWN,1752175594
46693,PCRX,2025-02-27 16:05:00,25.34,25.38,596.85,585.05,761601,regular_market,0.03999999999999915,0.15785319652722632,-11.800000000000068,-1.9770461590014357,2.134899355528662,UP,1752175594
46696,IOVA,2025-02-27 16:01:00,5.38,5.26,596.85,585.05,13965579,regular_market,-0.1200000000000001,-2.2304832713754665,-11.800000000000068,-1.9770461590014357,-0.2534371123740309,DOWN,1752175594
46694,PCRX,2025-02-27 16:00:00,25.34,25.38,596.85,585.05,761601,regular_market,0.03999999999999915,0.15785319652722632,-11.800000000000068,-1.9770461590014357,2.134899355528662,UP,1752175594
46515,BCDA,2025-02-27 09:15:00,2.1,2.11,594.54,596.85,31821,pre_market,0.009999999999999787,0.476190476190466,2.310000000000059,0.38853567463922684,0.08765480155123917,UP,1752175594
46516,OCGN,2025-02-27 08:46:00,0.6101,0.6182,594.54,596.85,4114352,pre_market,0.008099999999999996,1.327651204720537,2.310000000000059,0.38853567463922684,0.9391155300813103,UP,1752175594
46482,IMNN,2025-02-27 08:05:00,0.8046,0.81,594.54,596.85,249039,pre_market,0.005400000000000071,0.6711409395973243,2.310000000000059,0.38853567463922684,0.2826052649580975,UP,1752175594
46480,JSPR,2025-02-27 08:00:00,5.8,5.74,594.54,596.85,292281,pre_market,-0.05999999999999961,-1.0344827586206828,2.310000000000059,0.38853567463922684,-1.4230184332599096,DOWN,1752175594
