news_id,ticker,published_date,begin_price,end_price,index_begin_price,index_end_price,volume,market,price_change,price_change_percentage,index_price_change,index_price_change_percentage,daily_alpha,actual_side,runid
16678,RAPT,2023-08-30 16:05:00,152.0,152.56,449.51,451.01,20726,regular_market,0.5600000000000023,0.3684210526315805,1.5,0.33369669195346047,0.034724360678120014,UP,1752171547
14945,VIR,2023-08-29 16:30:00,13.06,13.04,442.65,449.16,875884,regular_market,-0.02000000000000135,-0.15313935681471172,6.510000000000048,1.470687902405975,-1.6238272592206866,DOWN,1752171547
16655,CELU,2023-08-29 09:00:00,2.86,3.26,442.76,442.65,403571,pre_market,0.3999999999999999,13.986013986013985,-0.11000000000001364,-0.0248441593639926,14.010858145377977,UP,1752171547
14994,ICCC,2023-08-29 08:00:00,4.53,4.55,442.76,442.65,37633,pre_market,0.019999999999999574,0.4415011037527499,-0.11000000000001364,-0.0248441593639926,0.4663452631167425,UP,1752171547
15217,BMRA,2023-08-28 08:19:00,9.2,9.2,439.97,442.24,5204,pre_market,0.0,0.0,2.269999999999982,0.5159442689274227,-0.5159442689274227,UP,1752171547
16407,CFRX,2023-08-28 08:00:00,0.7179,0.75,439.97,442.24,33361,pre_market,0.03210000000000002,4.47137484329294,2.269999999999982,0.5159442689274227,3.9554305743655176,UP,1752171547
15218,BMRA,2023-08-25 17:00:00,9.36,9.2,438.68,439.97,2000,regular_market,-0.16000000000000014,-1.7094017094017109,1.2900000000000205,0.2940640102124602,-2.003465719614171,DOWN,1752171547
16559,BNOX,2023-08-23 06:00:00,1.2,1.27,438.15,439.25,124564,pre_market,0.07000000000000006,5.833333333333339,1.1000000000000227,0.2510555745749225,5.5822777587584165,UP,1752171547
16408,CFRX,2023-08-14 08:30:00,0.97,1.0,445.65,444.7,59911,pre_market,0.030000000000000027,3.092783505154642,-0.9499999999999886,-0.21317177156961487,3.305955276724257,UP,1752171547
14618,ELOX,2023-08-14 08:30:00,4.75,4.99,445.65,444.7,744576,pre_market,0.2400000000000002,5.0526315789473735,-0.9499999999999886,-0.21317177156961487,5.265803350516988,UP,1752171547
15403,VBLT,2023-08-14 08:00:00,8.0535,7.7805,445.65,444.7,63179,pre_market,-0.2729999999999997,-3.3898305084745726,-0.9499999999999886,-0.21317177156961487,-3.1766587369049577,DOWN,1752171547
14619,ELOX,2023-08-14 08:00:00,4.75,4.99,445.65,444.7,744576,pre_market,0.2400000000000002,5.0526315789473735,-0.9499999999999886,-0.21317177156961487,5.265803350516988,UP,1752171547
16679,RAPT,2023-08-11 08:00:00,197.28,189.76,445.91,443.97,33387,pre_market,-7.52000000000001,-3.8118410381184153,-1.9399999999999977,-0.4350653719360404,-3.376775666182375,DOWN,1752171547
15367,OPGN,2023-08-10 16:15:00,4.513,3.377,448.19,445.91,64012,regular_market,-1.1360000000000001,-25.171726124529144,-2.2799999999999727,-0.5087128226868008,-24.663013301842344,DOWN,1752171547
16387,RAIN,2023-08-10 16:05:00,1.2,1.18,448.19,445.91,209082,regular_market,-0.020000000000000018,-1.6666666666666683,-2.2799999999999727,-0.5087128226868008,-1.1579538439798673,DOWN,1752171547
14995,ICCC,2023-08-10 16:05:00,5.27,5.02,448.19,445.91,5607,regular_market,-0.25,-4.743833017077799,-2.2799999999999727,-0.5087128226868008,-4.235120194390999,DOWN,1752171547
16610,NEXI,2023-08-10 16:01:00,6.8225,6.6775,448.19,445.91,745,regular_market,-0.14499999999999957,-2.125320630267491,-2.2799999999999727,-0.5087128226868008,-1.61660780758069,DOWN,1752171547
15736,MLTX,2023-08-10 07:00:00,54.23,54.23,445.75,448.19,233548,pre_market,0.0,0.0,2.4399999999999977,0.5473920358945592,-0.5473920358945592,UP,1752171547
16175,HARP,2023-08-09 16:01:00,7.98,8.09,449.03,445.75,22336,regular_market,0.10999999999999943,1.3784461152882133,-3.2799999999999727,-0.7304634434224825,2.1089095587106956,UP,1752171547
15577,PEPG,2023-08-08 08:15:00,5.0,4.99,450.71,448.08,78611,pre_market,-0.009999999999999787,-0.19999999999999576,-2.6299999999999955,-0.5835237736016498,0.383523773601654,DOWN,1752171547
14588,ANAB,2023-08-07 16:15:00,18.83,18.46,448.71,450.71,202347,regular_market,-0.36999999999999744,-1.964949548592658,2.0,0.4457221813643556,-2.4106717299570137,DOWN,1752171547
14996,ICCC,2023-08-07 12:00:00,5.19,5.11,446.81,448.71,7481,pre_market,-0.08000000000000007,-1.5414258188824674,1.8999999999999773,0.4252366777824975,-1.966662496664965,DOWN,1752171547
15368,OPGN,2023-08-07 07:30:00,5.866,6.0,446.81,448.71,16167,pre_market,0.13400000000000034,2.2843504943743667,1.8999999999999773,0.4252366777824975,1.859113816591869,UP,1752171547
14946,VIR,2023-08-03 16:05:00,14.0,13.97,448.04,448.84,956507,regular_market,-0.02999999999999936,-0.2142857142857097,0.7999999999999545,0.1785554861173008,-0.3928412004030105,DOWN,1752171547
14620,ELOX,2023-08-03 09:26:00,7.09,7.22,450.13,448.04,81797,pre_market,0.1299999999999999,1.8335684062059223,-2.089999999999975,-0.4643103103547808,2.297878716560703,UP,1752171547
15219,BMRA,2023-08-03 08:19:00,11.68,13.68,450.13,448.04,1400677,pre_market,2.0,17.123287671232877,-2.089999999999975,-0.4643103103547808,17.587597981587656,UP,1752171547
15369,OPGN,2023-08-03 08:00:00,5.898,6.1,450.13,448.04,6164,pre_market,0.20199999999999996,3.42488979315022,-2.089999999999975,-0.4643103103547808,3.889200103505001,UP,1752171547
15370,OPGN,2023-08-03 07:30:00,5.898,6.1,450.13,448.04,6164,pre_market,0.20199999999999996,3.42488979315022,-2.089999999999975,-0.4643103103547808,3.889200103505001,UP,1752171547
16176,HARP,2023-08-03 07:30:00,7.48,7.5,450.13,448.04,8436,pre_market,0.019999999999999574,0.2673796791443793,-2.089999999999975,-0.4643103103547808,0.7316899894991602,UP,1752171547
16177,HARP,2023-08-01 07:30:00,7.833,7.8,457.79,456.27,11003,pre_market,-0.03300000000000036,-0.4212945231712034,-1.5200000000000387,-0.33202997007362295,-0.08926455309758047,DOWN,1752171547
